pages.dev,blocking banner with option to close,bottom bar,"accept all cookies, reject all, cookie preferences",,,
uol.com.br,blocking banner with option to close,center,"consent, manage options",List of partners,,
sophos.com,blocking banner with option to close,bottom bar,"accept all cookies, reject all cookies, cookies settings",Cookie Policy,,
telekom.de,blocking banner,center,"accept all, only required, settings","privacy statement, Privacy Policy, Imprint, Partner list",,
tumblr.com,blocking banner,center,"i agree, learn more",,,
f5.com,blocking banner,center,"count me in, no thanks, customize settings",Privacy Policy,,
netflix.com,floating non blocking banner stays until action (close option given),center,"accept, reject, learn more",cookies and similar technologies,,
chatgpt.com,floating non blocking banner stays until action (close option given),bottom bar,"accept all, reject non-essential, manage cookies","Manage Cookies, Cookie Policy ",,
zoom.us,floating non blocking banner stays until action (close option given),center,"accept cookies, decline cookies, cookies settings",Privacy Statement,,
yandex.net,floating non blocking banner stays until action,bottom right,"allow all, allow essential cookies, settings",Cookie Policy,,
wordpress.com,floating non blocking banner stays until action,bottom bar,"accept all, customize",,,
europa.eu,floating non blocking banner stays until action,bottom bar,"accept all cookies, accept only essential cookies",cookies policy page,,
fastly.net,simple non blocking banner,bottom left,"accept all, reject all, customize",Cookie Policy,,
roblox.com,simple non blocking banner,bottom bar,"accept all, decline all, set cookie options",Privacy Policy,,
intuit.com,simple non blocking banner,bottom bar,"accept all, decline all, customize settings",Cookies Statement,,
reddit.com,simple non blocking banner,bottom right,"accept all, reject optional cookies",how Reddit uses cookies,,
www.gov.uk,static non blocking banner stays until action,top bar,"accept additional cookies, reject additional cookies",View cookies,,
xboxlive.com,static non blocking banner stays until action,top bar,"accept, reject, manage cookies","Privacy Policy, Third Party Cookies",,
gamepass.com,static non blocking banner stays until action,top bar,"accept, reject, manage cookies","Privacy Policy, Third Party Cookies",,
visualstudio.com,static non blocking banner stays until action,top bar,"accept, reject, manage cookies","Privacy Statement, Third-Party Cookies",,